Metraje,Cantidad de habitaciones,Baños,apartment_type,project_name,project_url,project_description,project_c_time,project_m_time,project_img_url,project_zone,project_status,project_lat,project_lon,Parqueos,Cuotas desde,Precio desde,Incluye bodega,Incluye área de servicio
66.2m²,1,1,Tipo C,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
102.15m²,1,1.5,Tipo E,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
104.22m²,1,1.5,Tipo F,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
71.38m²,1,1,Tipo G,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
103.65m²,2,2,Tipo B,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
190.79m²,3,2.5,Tipo D,park-palace,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",2025-02-28T16:29:28+00:00,2025-02-28T16:42:42+00:00,https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,Null,14.589524589248413,-90.48700333212474,,,,,
71m²,3,2,Modelo A1,naoki,https://citymap.com.gt/propiedades/naoki/,"Ubicados en Zona 7 con precio desde Q4,550. Con apartamentos de 3 habitaciones. Con más de 10 amenidades. Direccion: 38 Avenida 4-89, Colonia La Floresta, Zona 7.",2024-08-01T17:21:11+00:00,2024-09-10T22:52:28+00:00,https://citymap.com.gt/wp-content/uploads/2024/08/Containernaokidesktop32.jpg,zona-7,Null,14.639754888424504,-90.5608344829034,2,"Q6,350",,,
70m²,3,2,Modelo A2,naoki,https://citymap.com.gt/propiedades/naoki/,"Ubicados en Zona 7 con precio desde Q4,550. Con apartamentos de 3 habitaciones. Con más de 10 amenidades. Direccion: 38 Avenida 4-89, Colonia La Floresta, Zona 7.",2024-08-01T17:21:11+00:00,2024-09-10T22:52:28+00:00,https://citymap.com.gt/wp-content/uploads/2024/08/Containernaokidesktop32.jpg,zona-7,Null,14.639754888424504,-90.5608344829034,2,,,,
87m²,2,2,EMI,ginza,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",2024-12-09T15:14:01+00:00,2024-12-09T15:29:47+00:00,https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,Null,14.588105201459944,-90.4916567656658,,,,,
104m²,3,2.5,AKARI,ginza,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",2024-12-09T15:14:01+00:00,2024-12-09T15:29:47+00:00,https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,Null,14.588105201459944,-90.4916567656658,,,,,
175m²,3,3.5,KIYO,ginza,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",2024-12-09T15:14:01+00:00,2024-12-09T15:29:47+00:00,https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,Null,14.588105201459944,-90.4916567656658,,,,,
