project_name,apartment_type,project_url,project_description,project_img_url,project_zone,project_status,project_lat,project_lon,apartment_m2,apartment_beds,apartment_baths,apartment_parking,apartment_has_serviceroom,apartment_has_storeroom,apartment_rent,apartment_price,project_c_date,project_m_date,apartment_rent_m2,apartment_price_m2
park-palace,Tipo C,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,66.2,1.0,1.0,,,,,,2025-02-28,2025-02-28,,
park-palace,Tipo E,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,102.15,1.0,1.5,,,,,,2025-02-28,2025-02-28,,
park-palace,Tipo F,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,104.22,1.0,1.5,,,,,,2025-02-28,2025-02-28,,
park-palace,Tipo G,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,71.38,1.0,1.0,,,,,,2025-02-28,2025-02-28,,
park-palace,Tipo B,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,103.65,2.0,2.0,,,,,,2025-02-28,2025-02-28,,
park-palace,Tipo D,https://citymap.com.gt/propiedades/park-palace/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 3ra calle 21-71 zona 15, VH I. Pa k Palace Apa tame tos e  zo a 15
Nuest o edificio co ta á co  va ias ame idades que ve d á  a compleme ta  el estilo de vida de  uest os clie tes:
Lobby co  se vicio de co cie ge las 24 ho as, segu idad, salo es sociales pa a eve tos, á ea de juegos i fa tiles y ce t os de t abajo.",https://citymap.com.gt/wp-content/uploads/2025/02/a64a49_102b2fe45b0d4468b31bcc65ea14a96fmv2.jpg,zona-15,,14.589524589248413,-90.48700333212474,190.79,3.0,2.5,,,,,,2025-02-28,2025-02-28,,
naoki,Modelo A1,https://citymap.com.gt/propiedades/naoki/,"Ubicados en Zona 7 con precio desde Q4,550. Con apartamentos de 3 habitaciones. Con más de 10 amenidades. Direccion: 38 Avenida 4-89, Colonia La Floresta, Zona 7.",https://citymap.com.gt/wp-content/uploads/2024/08/Containernaokidesktop32.jpg,zona-7,,14.639754888424504,-90.5608344829034,71.0,3.0,2.0,2.0,,,814.1,,2024-08-01,2024-09-10,11.47,
naoki,Modelo A2,https://citymap.com.gt/propiedades/naoki/,"Ubicados en Zona 7 con precio desde Q4,550. Con apartamentos de 3 habitaciones. Con más de 10 amenidades. Direccion: 38 Avenida 4-89, Colonia La Floresta, Zona 7.",https://citymap.com.gt/wp-content/uploads/2024/08/Containernaokidesktop32.jpg,zona-7,,14.639754888424504,-90.5608344829034,70.0,3.0,2.0,2.0,,,,,2024-08-01,2024-09-10,,
ginza,EMI,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,,14.588105201459944,-90.4916567656658,87.0,2.0,2.0,,,,,,2024-12-09,2024-12-09,,
ginza,AKARI,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,,14.588105201459944,-90.4916567656658,104.0,3.0,2.5,,,,,,2024-12-09,2024-12-09,,
